,X1,X2
328,-0.084745406,-0.057008519
330,-0.034942686,0.001904983
331,0.042240484,-0.049473939
332,0.032020587,-0.097383555
334,0.234241539,0.166886211
335,0.13807574,0.094647206
336,-0.072282752,0.035458997
337,-0.013172915,-0.017031534
339,-0.008746452,-0.00929731
340,-0.090707337,0.115020035
341,0.119200591,-0.019151931
342,-0.018567844,-0.144778231
343,0.022033537,-0.082030797
344,0.128938267,-0.0367508
345,0.031512029,-0.040713797
346,0.106954787,0.058485242
348,-0.175848266,0.23550903
350,-0.000915542,-0.003488765
351,0.063515949,0.024885616
352,-0.011597526,-0.022128984
354,-0.02834143,-0.045665115
355,-0.030983816,0.013368783
356,-0.030266043,-0.003584484
358,0.119528513,-0.004772412
359,-0.039542816,0.007165071
362,-0.061642249,0.001052333
363,0.045244007,-0.041427636
364,-0.112536968,0.118701365
365,0.019548016,-0.019247411
366,-0.063415681,-0.028107026
